DAUID,POPDENSE
10060081,35.3
10060082,7430.6
10060083,384
10060084,289.3
10060085,707.8
10060086,0.2
10060087,16.6
10060088,29
10060089,397.1
10060090,1102.9
10060091,572.7
10060092,950.2
10060093,754.1
10060094,98.8
10060095,149.9
10060096,179.4
10060097,54.1
10060098,395.9
10060099,1164.2
10060100,2239.5
10060101,1210.5
10060102,427.6
10060103,1330.6
10060104,2063.2
10060105,2795.5
10060106,2468.7
10060107,1303
10060108,2349.4
10060109,1246.2
10060110,2599.4
10060111,2367.7
10060112,560.6
10060113,76.2
10060114,583.7
10060115,2525.7
10060116,2747
10060117,2246.6
10060118,3693.1
10060119,1269.9
10060120,559.9
10060121,167.8
10060122,21.8
10060123,337.9
10060124,375.4
10060125,0
10060126,25
10060127,64
10060128,1653.8
1007,3.5
10070483,22.3
10070484,23.2
10070485,32
10070486,7.8
10070487,0.5
10070488,2
10070489,85.9
10070490,16.9
10070491,0
10070492,93.3
10070493,57.3
10070494,193.8
10070495,17.2
10070496,9.6
10070497,237.1
10070498,18.7
10070499,68.1
10070500,0
10070501,0.1
10070502,29.6
10070503,14.3
10070504,38
10070505,16.7
10070506,54.9
10070507,36.9
10070508,20.1
10070509,23.9
10070510,26.9
10070511,20.8
10070512,13.5
10070513,7.8
10070514,11.3
10070515,41.4
10070516,183.2
10070517,11.9
10070518,3.1
10070519,1.6
10070520,2.4
10070521,3.2
10070522,3.6
10070523,1.7
10070524,13.1
10070525,28.9
10070526,2.4
10070527,4.2
10070528,1.7
10070529,7.8
10070530,33.8
10070531,1110.5
10070532,664
10070533,950.1
10070534,888.5
10070535,999.7
10070536,496.3
10070537,33.3
10070538,0.4
10070539,30.7
10070540,58.8
10070541,63.4
10070542,187.9
10070543,154.3
10070544,33.5
10070545,3.5
10070546,26.5
10070547,4.8
10070548,3.6
10070549,47.8
10070550,2
10070551,28.4
10070552,2.5
10070553,6.9
10070554,723.4
10070555,1699.4
10070556,637.9
10070557,1393.1
10070558,1280
10070559,178.7
10070560,560.8
10070561,42.9
10070562,704.6
10070563,137
10070564,0
10070565,0.4
10070566,11.9
1008,3.8
10080161,9.8
10080162,17.4
10080163,32
10080164,2.3
10080165,26.4
10080166,111.2
10080167,5
10080168,39.2
10080169,8.7
10080170,4.8
10080171,32.4
10080172,57.4
10080173,24.1
10080174,51.5
10080175,63.8
10080176,131.9
10080177,269.9
10080178,118.2
10080179,59.4
10080180,6
10080181,26
10080182,24.3
10080183,57.9
10080184,55.2
10080185,0.8
10080186,13.6
10080187,12.7
10080188,27.6
10080189,105.4
10080190,1465.8
10080191,74.3
10080192,2220.5
10080193,1216.3
10080194,33.8
10080195,5.9
10080196,22.4
10080197,38.6
10080198,33.1
10080199,0.8
10080200,10.9
10080201,7
10080202,20.5
10080203,0.5
10080204,8.5
10080205,4.9
10080206,84.3
10080207,125.5
10080208,135.5
10080209,0.4
10080210,72.5
10080211,50.5
10080212,9.9
10080213,53.1
10080214,386.8
10080215,1870.6
10080216,63.7
10080217,2716
10080218,0.9
10080219,14.2
10080220,18.8
10080221,0.8
10080222,44
10080223,1.6
10080224,76.7
10080225,0.1
10080226,28.1
10080227,38
10080228,84.4
10080229,153.6
10080230,18.8
10080231,11.3
10080232,2.1
10080233,7.2
10080234,7.7
10080235,5.8
10080236,6.1
10080237,23.4
